Description,Loss or Gain
ATP6V0A1_DEL,Loss
ATP6AP1_DEL,Loss
ATP7A_DEL,Loss
ATP5O_DEL,Gain
ATP7B_DEL,Loss
ATP5SL_DEL,Gain
ATP13A1_DEL,Loss
ATP10A_DEL,Loss
ATP8B2_DEL,Loss
ATP10D_DEL,Loss
ATPAF1_DEL,Gain
ATP13A3_DEL,Loss
ATP8B4_DEL,Loss
ATP13A4_DEL,Loss
ATP1A1OS_DEL,Gain
ATP6V0E1_DEL,Loss
ATPBD4_DEL,Gain
ATP6V1E2_DEL,Loss
ATP6V0D1_DEL,Loss
ATPAF2_DEL,Gain
ATP6AP1L_DEL,Loss
ATP6V1F_DEL,Loss
ATPIF1_DEL,Gain
ATP6V1G1_DEL,Loss
ATP5J2_DEL,Gain
ATP2C2_DEL,Loss
NF1_MUT,Gain
NF1P2_AMP,Gain
NF1_AMP,Gain
NF1P2_DEL,Gain
NF1_DEL,Gain
MERTK_MUT,Gain
MERTK_AMP,Gain
MERTK_DEL,Gain
RASA3_MUT,Gain
HRAS_MUT,Gain
KRAS_MUT,Gain
NRAS_MUT,Gain
RASA1_MUT,Gain
RASGRF1_MUT,Gain
RASGRF2_MUT,Gain
RASAL2-AS1_AMP,Loss
RASGRP1_AMP,Gain
RASA4_AMP,Gain
RASGRP2_AMP,Gain
RASL10A_AMP,Gain
RASSF1_AMP,Gain
RASSF8_AMP,Gain
RASGRP4_AMP,Gain
HRASLS5_AMP,Loss
DIRAS1_AMP,Gain
RASGEF1B_AMP,Gain
RASEF_AMP,Gain
RASSF6_AMP,Gain
RASGEF1A_AMP,Gain
RRAS2_AMP,Gain
MRAS_AMP,Gain
RASA3_AMP,Gain
RASD2_AMP,Gain
RASGEF1C_AMP,Gain
RASGRP3_AMP,Gain
RASSF3_AMP,Gain
NKIRAS2_AMP,Gain
NKIRAS1_AMP,Gain
HRAS_AMP,Gain
ERAS_AMP,Gain
KRAS_AMP,Gain
RASL11A_AMP,Gain
RASA4CP_AMP,Gain
NRAS_AMP,Gain
RASL12_AMP,Gain
RASD1_AMP,Gain
DIRAS2_AMP,Gain
RASIP1_AMP,Gain
HRASLS2_AMP,Loss
HRASLS_AMP,Loss
RASA1_AMP,Gain
RASA2_AMP,Gain
RASGRF1_AMP,Gain
RASGRF2_AMP,Gain
RRAS_AMP,Gain
RASSF10_AMP,Gain
RASAL3_AMP,Gain
RASL11B_AMP,Gain
RASSF7_AMP,Gain
RASSF5_AMP,Gain
RASSF4_AMP,Gain
RASAL1_AMP,Gain
DIRAS3_AMP,Gain
RASL10B_AMP,Gain
RASSF9_AMP,Gain
RASAL2_AMP,Gain
RASSF2_AMP,Gain
RASAL2-AS1_DEL,Loss
RASGRP1_DEL,Gain
RASA4_DEL,Gain
RASGRP2_DEL,Gain
RASL10A_DEL,Gain
RASSF1_DEL,Gain
RASSF8_DEL,Gain
