A,P,Q,U
0.5363319130434783,0.2608695652173913,0.2027985217391304,0.0
0.6956521739130435,0.17391304347826086,0.13043478260869565,0.0
0.5019278695652174,0.3478260869565217,0.15024604347826087,0.0
0.5807216956521739,0.23667282608695653,0.18260547826086954,0.0
0.501381304347826,0.34782608695652173,0.15079260869565217,0.0
0.6956521739130435,0.2608695652173913,0.043478260869565216,0.0
0.5990667826086956,0.26086956521739124,0.14006365217391303,0.0
0.6143375217391305,0.2181544347826087,0.16750804347826087,0.0
0.5363298695652174,0.3478260869565218,0.1158440434782609,0.0
0.6956521739130435,0.2608695652173913,0.043478260869565216,0.0
0.7205123913043479,0.1476044782608696,0.13188313043478261,0.0
0.6956521739130435,0.2608695652173913,0.043478260869565216,0.0
0.5019175652173914,0.43478260869565216,0.06329982608695653,0.0
