A,P,Q,U
0.6956521739130435,0.08695652173913043,0.21739130434782608,0.0
0.7212745217391303,0.10426708695652173,0.17445839130434782,0.0
0.6956521739130435,0.17391304347826086,0.13043478260869565,0.0
0.764775695652174,0.08719860869565217,0.14788278260869567,0.00014291304347826086
0.5988377826086957,0.17391304347826086,0.22724917391304345,0.0
0.6129966086956522,0.17499239130434788,0.21201100000000006,0.0
0.8088193913043478,0.0872632608695652,0.10391734782608697,0.0
0.6956521739130435,0.17391304347826086,0.13043478260869565,0.0
0.7200038260869566,0.10428208695652173,0.17571408695652177,0.0
0.7105385652173913,0.17469526086956522,0.1142097826086956,0.000556391304347826
0.6956521739130435,0.17391304347826086,0.13043478260869565,0.0
0.7214203043478261,0.14775200000000002,0.13082769565217395,0.0
0.7647786521739129,0.13067704347826087,0.10440121739130435,0.00014308695652173913
