node_name
TGFB
AMP
ATP
NF1
PKC
RTK
RAGS
RAS
PI3K
PTEN
PIP3
PDK1
IKK
NFKB
RAF
ERK
P90
AKT
WNT
DSH
APC
GSK3
BCAT
SLUG
MTOR
HIF1
COX412
VHL
PHDS
MYC
MAX
MXI1
TSC1
TSC2
RHEB
P53
BCL2
BAX
BAD
BCLXL
RB
E2F
P14
CYCA
CYCB
CYCD
CYCE
CDH1
CDC20
UBCH10
P27
P21
MDM2
SMAD
P15
FADD
CASP8
BAK
JNK
FOXO
FOSJUN
ROS
AMPK
CYTC
APAF1
CASP9
ECADH
GLUT1
HTERT
VEGF
TAK1
GSH
TCF
MIZ1
P70
ATM
ATR
CHK1
CHK2
EEF2K
EEF2
LDHA
ACIDLACTIC
SNAIL
